de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
+,0.8453938564347533,45.0,13.0,45.0,BD+44 4550,-16.88,114.44,3,1,,,,0.02253656396637678,0.0,5.0,9.9,A1Vn,,6.7,0.6632681662650974,0.014950316613834669,0.7482324689910758
-,-0.13169963647340546,0.0,30.0,11.0,BD-01 4525,-61.14,98.33,6,2,,,,0.022092959448161555,0.0,5.0,3.8,gG9,,6.29,0.9910982045581231,0.021899855656569454,-0.13131924932730216
-,-0.2724895294676147,5.0,42.0,27.0,BD-06 6357,-65.93,93.75,28,3,,,33    Psc,0.023278328898474372,0.0,5.0,20.1,K0IIIbCN-0.5,,4.61,0.9628429428050733,0.022417424035512123,-0.2691299436890637
+,0.33059444914859265,13.0,23.0,46.0,BD+12 5063,-47.98,106.19,87,4,,,86    Peg,0.024870941840919196,0.0,5.0,42.0,G5III,,5.51,0.945557030243796,0.023521744005853315,0.32460534517388356
+,1.1266100321623396,58.0,26.0,12.0,BD+57 2865,-3.92,117.03,123,5,,,,0.027343491614577827,0.0,6.0,16.0,G5V,,5.96,0.4295626438838967,0.011748670726237304,0.9029606324284813
-,-0.8748462875621577,49.0,4.0,30.0,CD-4914337,-66.38,321.61,142,6,,,,0.02756165777107712,0.0,6.0,19.0,G1IV,,5.7,0.6408713371564407,0.017667950486540233,-0.7674449639791252
+,1.1683524901058708,64.0,11.0,46.0,BD+63 2107,1.75,118.06,144,7,e,,10    Cas,0.028107073162325344,0.0,6.0,26.5,B9III,,5.59,0.39151339965436416,0.011007194509753364,0.9201065696755494
+,0.5117450810951707,29.0,1.0,17.0,BD+28 4704,-32.83,111.26,166,8,,,,0.02885611029963958,0.0,6.0,36.8,K0V,,6.13,0.8715282944176634,0.02515589921090952,0.4896995127262525
-,-0.42956916214710433,23.0,6.0,27.0,CD-23    4,-79.14,52.21,203,9,,,,0.029823313593453103,0.0,6.0,50.1,A7V,,6.18,0.9087409884417433,0.027109705345522712,-0.4164791468993403
-,-0.3978623474025407,17.0,23.0,11.0,BD-18 6428,-75.9,74.36,256,10,,,,0.0318668032593298,0.0,7.0,18.2,A6Vn,,6.19,0.9214232825244464,0.02937275774737714,-0.38744854564727443
-,-0.17860536012075307,2.0,32.0,56.0,BD-03    2,-63.29,98.02,315,11,,,,0.03375030441044035,0.0,7.0,44.1,B8IIIpSi,,6.43,0.9835319893976433,0.03320711355053019,-0.17765729211365508
-,-0.5171992350076531,22.0,30.0,32.0,CD-23   13,-79.07,55.56,319,12,,,,0.033946653951289714,0.0,7.0,46.8,A2Vp:,,5.94,0.8687066401526032,0.02950101665024426,-0.4944476346099529
-,-0.7145668845873452,33.0,31.0,46.0,CD-34   17,-78.67,355.91,344,13,,,,0.0351611122224691,0.0,8.0,3.5,K1III,,5.68,0.7549102386795749,0.026554427635520666,-0.6552903126933111
-,-0.15213453313217243,2.0,26.0,52.0,BD-03    3,-63.24,98.34,352,14,,,,0.035786521871100395,0.0,8.0,12.1,K2III+F,,6.07,0.9878169709699971,0.03536563222082307,-0.151548355059636
+,0.529852872084612,29.0,5.0,26.0,BD+28    4,-32.84,111.73,358,15,v,,21Alp And,0.036601008855364416,0.0,8.0,23.3,B8IVpMnHg,,2.06,0.8623035311705285,0.031575280211170544,0.5054063927280931
-,-0.355319946885179,8.0,49.0,26.0,BD-09    5,-69.04,91.79,360,16,,,,0.03617194874758248,0.0,8.0,17.4,gG8,,5.99,0.9369219570697662,0.033905081549475954,-0.34789034451344364
